name,link,sum_min,sum_max,firm,adress,site
Data Engineer в Сбере,https://hh.ru/vacancy/47301394?from=vacancy_search_list&query=data,0,0,Сбер. IT,Москва,hh.ru
Data Engineer в Сбере,https://hh.ru/vacancy/47301392?from=vacancy_search_list&query=data,0,0,Сбер. IT,Москва,hh.ru
Data Engineer в Сбере,https://hh.ru/vacancy/47301396?from=vacancy_search_list&query=data,0,0,Сбер. IT,Москва,hh.ru
Data Engineer в Сбере,https://hh.ru/vacancy/47583544?from=vacancy_search_list&query=data,0,0,Сбер. IT,Москва,hh.ru
Data аналитик,https://hh.ru/vacancy/47583265?from=vacancy_search_list&query=data,0,0,Сбер. IT,Москва,hh.ru
Data инженер,https://hh.ru/vacancy/47583266?from=vacancy_search_list&query=data,0,0,Сбер. IT,Москва,hh.ru
Data Engineer,https://hh.ru/vacancy/47159731?from=vacancy_search_list&query=data,0,0,HeadHunter:: IT,"Москва, Алексеевская",hh.ru
Системный аналитик\ data scientist,https://hh.ru/vacancy/47688264?from=vacancy_search_list&query=data,190000,250000,HFLabs,Москва,hh.ru
Аналитик \ Junior data scientist,https://hh.ru/vacancy/46191931?from=vacancy_search_list&query=data,100000,100000,LVMH Perfumes & Cosmetics Russia (Seldico LLC),Москва,hh.ru
Data Scientist,https://hh.ru/vacancy/45191074?from=vacancy_search_list&query=data,0,300000,Точка,Москва,hh.ru
Data Analyst // Relocation,https://hh.ru/vacancy/47846545?from=vacancy_search_list&query=data,3000,0,Wisebits,Москва,hh.ru
Senior data engineer,https://hh.ru/vacancy/47849127?from=vacancy_search_list&query=data,300000,0,EXE.CTLY,Москва,hh.ru
Data scientist,https://hh.ru/vacancy/44989370?from=vacancy_search_list&query=data,200000,0,Bip.ru,"Москва, Бауманская",hh.ru
Senior Data Scientist в команду генетики,https://hh.ru/vacancy/47866453?from=vacancy_search_list&query=data,0,450000,Институт Искусственного Интеллекта,Москва,hh.ru
Data Analyst,https://hh.ru/vacancy/46956576?from=vacancy_search_list&query=data,200000,0,Новакид РУС,Москва,hh.ru
Data Scientist,https://hh.ru/vacancy/47450611?from=vacancy_search_list&query=data,60000,200000,ООО Артистраж,"Москва, Выставочная и еще 2 ",hh.ru
Data Engineer,https://hh.ru/vacancy/47682033?from=vacancy_search_list&query=data,300000,0,L’etoile Digital,"Москва, Нахимовский проспект",hh.ru
Data scientist,https://hh.ru/vacancy/47865356?from=vacancy_search_list&query=data,200000,0,WОRKKI,Москва,hh.ru
Junior data engineer/analyst,https://hh.ru/vacancy/47849186?from=vacancy_search_list&query=data,0,150000,EXE.CTLY,Москва,hh.ru
Data Engineer,https://hh.ru/vacancy/46257863?from=vacancy_search_list&query=data,190000,0,Метр Квадратный,Москва,hh.ru
Junior data analytic,https://hh.ru/vacancy/47806548?from=vacancy_search_list&query=data,0,0,ООО Цифровой Двойник,"Санкт-Петербург, Спортивная",hh.ru
Data Analyst в Skysmart,https://hh.ru/vacancy/46796027?from=vacancy_search_list&query=data,220000,260000,Skyeng,Санкт-Петербург,hh.ru
Data Analyst,https://hh.ru/vacancy/46956577?from=vacancy_search_list&query=data,200000,0,Новакид РУС,Санкт-Петербург,hh.ru
Senior Data Scientist,https://hh.ru/vacancy/47728542?from=vacancy_search_list&query=data,220000,320000,ООО Виго Лаб,"Санкт-Петербург, Петроградская",hh.ru
Специалист Computer Vision (Senior Data Scientist),https://hh.ru/vacancy/47488734?from=vacancy_search_list&query=data,180000,300000,ООО Медицинские Скрининг Системы,Санкт-Петербург,hh.ru
Data Analyst в Operations,https://hh.ru/vacancy/46940090?from=vacancy_search_list&query=data,150000,220000,Skyeng,Санкт-Петербург,hh.ru
Data Engineer (junior),https://hh.ru/vacancy/47712132?from=vacancy_search_list&query=data,0,0,ООО Амбреллио,"Санкт-Петербург, Комендантский проспект",hh.ru
Разработчик нейронных сетей / Data scientist,https://hh.ru/vacancy/47411923?from=vacancy_search_list&query=data,0,0,Artes Electronics,"Санкт-Петербург, Обводный Канал",hh.ru
Data analyst / Researcher,https://hh.ru/vacancy/44074886?from=vacancy_search_list&query=data,0,0,Alber Blanc,"Санкт-Петербург, Беговая",hh.ru
Data Scientist / Математик-программист,https://hh.ru/vacancy/47450289?from=vacancy_search_list&query=data,0,0,ООО Лаборатория Корпоративного Сопровождения,Санкт-Петербург,hh.ru
Big Data Engineer (remote),https://hh.ru/vacancy/47146188?from=vacancy_search_list&query=data,4400,12000,LeoVegas,Санкт-Петербург,hh.ru
Senior Data engineer,https://hh.ru/vacancy/47797816?from=vacancy_search_list&query=data,300000,0,"Компания «СПОРТМАСТЕР», SM Lab",Санкт-Петербург,hh.ru
Data Analyst в C1,https://hh.ru/vacancy/42491175?from=vacancy_search_list&query=data,130000,180000,Skyeng,Санкт-Петербург,hh.ru
Data Engineer,https://hh.ru/vacancy/47864776?from=vacancy_search_list&query=data,170000,230000,ООО КАЗАНЬЭКСПРЕСС,Санкт-Петербург,hh.ru
Middle/Senior Python разработчик проектов Data Science,https://hh.ru/vacancy/47223800?from=vacancy_search_list&query=data,200000,250000,ООО Студия Данных,Санкт-Петербург,hh.ru
Data Analyst,https://hh.ru/vacancy/47369126?from=vacancy_search_list&query=data,0,0,Karuna,"Санкт-Петербург, Чкаловская",hh.ru
Data analyst в B2B,https://hh.ru/vacancy/47688845?from=vacancy_search_list&query=data,130000,180000,Skyeng,Санкт-Петербург,hh.ru
Data Analyst,https://hh.ru/vacancy/46428279?from=vacancy_search_list&query=data,0,0,Tilting Point Media,"Санкт-Петербург, Петроградская",hh.ru
Data Analyst в HR IT,https://hh.ru/vacancy/46810930?from=vacancy_search_list&query=data,130000,180000,Skyeng,Санкт-Петербург,hh.ru
Data Manager,https://hh.ru/vacancy/47570290?from=vacancy_search_list&query=data,0,0,PSI Co Ltd.,"Санкт-Петербург, Владимирская",hh.ru
Data Analyst (Отдел аудита информационных технологий),https://hh.ru/vacancy/47707319?from=vacancy_search_list&query=data,0,0,Сбер для экспертов,Екатеринбург,hh.ru
Data Scientist,https://hh.ru/vacancy/44350010?from=vacancy_search_list&query=data,100000,250000,Точка,Екатеринбург,hh.ru
Системный аналитик (Data Scientist),https://hh.ru/vacancy/47235300?from=vacancy_search_list&query=data,0,0,ООО Центр Информационных Технологий,Екатеринбург,hh.ru
Data Scientist,https://hh.ru/vacancy/47784212?from=vacancy_search_list&query=data,0,0,ПАО КБ «Уральский банк реконструкции и развития» (УБРиР),Екатеринбург,hh.ru
Senior Data Scientist (в Нижний Новгород),https://hh.ru/vacancy/47588029?from=vacancy_search_list&query=data,160000,240000,ООО Займиго МФК,Екатеринбург,hh.ru
Ведущий Data Engineer,https://hh.ru/vacancy/47284651?from=vacancy_search_list&query=data,0,0,Ozon Express,Екатеринбург,hh.ru
