name,link,sum_min,sum_max,firm,adress,site
Data Engineer в Сбере,https://hh.ru/vacancy/47583544?from=vacancy_search_list&query=data,0,0,Сбер. IT,Москва,hh.ru
Data Engineer в Сбере,https://hh.ru/vacancy/47301392?from=vacancy_search_list&query=data,0,0,Сбер. IT,Москва,hh.ru
Data Engineer в Сбере,https://hh.ru/vacancy/47301396?from=vacancy_search_list&query=data,0,0,Сбер. IT,Москва,hh.ru
Data аналитик,https://hh.ru/vacancy/47583265?from=vacancy_search_list&query=data,0,0,Сбер. IT,Москва,hh.ru
Data Engineer в Сбере,https://hh.ru/vacancy/47301394?from=vacancy_search_list&query=data,0,0,Сбер. IT,Москва,hh.ru
Data инженер,https://hh.ru/vacancy/47583266?from=vacancy_search_list&query=data,0,0,Сбер. IT,Москва,hh.ru
Data Scientist,https://hh.ru/vacancy/46079759?from=vacancy_search_list&query=data,0,0,B2Broker Москва,"Москва, Выставочная и еще 2 ",hh.ru
Data Scientist (команда Поиска),https://hh.ru/vacancy/46048820?from=vacancy_search_list&query=data,0,0,HeadHunter::Analytics/Data Science,"Москва, Алексеевская",hh.ru
Data Engineer(Hr платформа),https://hh.ru/vacancy/46977845?from=vacancy_search_list&query=data,0,0,Сбер для экспертов,Москва,hh.ru
Junior Data Engineer (Python),https://hh.ru/vacancy/47018981?from=vacancy_search_list&query=data,120000,120000,DataFork,"Москва, Выставочная и еще 2 ",hh.ru
Junior / Middle Data analyst,https://hh.ru/vacancy/47112946?from=vacancy_search_list&query=data,0,150000,EXPF,"Москва, Октябрьская и еще 2 ",hh.ru
Data Scientist,https://hh.ru/vacancy/47450611?from=vacancy_search_list&query=data,60000,200000,ООО Артистраж,"Москва, Выставочная и еще 2 ",hh.ru
Data scientist,https://hh.ru/vacancy/44989370?from=vacancy_search_list&query=data,200000,0,Bip.ru,"Москва, Бауманская",hh.ru
Специалист Data Science,https://hh.ru/vacancy/46857375?from=vacancy_search_list&query=data,100000,200000,ООО Селфсек,"Москва, Трубная и еще 2 ",hh.ru
Python Machine Learning Data Science (трейдинг),https://hh.ru/vacancy/46823355?from=vacancy_search_list&query=data,80000,120000,Gromik group,"Москва, Электрозаводская и еще 1 ",hh.ru
Middle Data Scientist / Computer Vision Engineer,https://hh.ru/vacancy/47622728?from=vacancy_search_list&query=data,130000,200000,ZennoLab,Москва,hh.ru
Junior data scientist,https://hh.ru/vacancy/47249454?from=vacancy_search_list&query=data,0,0,Доценко Дарья,Москва,hh.ru
Data Analyst,https://hh.ru/vacancy/46956576?from=vacancy_search_list&query=data,200000,0,Новакид РУС,Москва,hh.ru
Data Engineer,https://hh.ru/vacancy/46976609?from=vacancy_search_list&query=data,300000,0,Храмцова Полина,Москва,hh.ru
Системный аналитик\ data scientist,https://hh.ru/vacancy/47688264?from=vacancy_search_list&query=data,190000,250000,HFLabs,Москва,hh.ru
Специалист Computer Vision (Senior Data Scientist),https://hh.ru/vacancy/47488734?from=vacancy_search_list&query=data,180000,300000,ООО Медицинские Скрининг Системы,Санкт-Петербург,hh.ru
Аналитик данных / Data Analyst,https://hh.ru/vacancy/46560854?from=vacancy_search_list&query=data,90000,110000,html academy,"Санкт-Петербург, Петроградская",hh.ru
Data Analyst,https://hh.ru/vacancy/46956577?from=vacancy_search_list&query=data,200000,0,Новакид РУС,Санкт-Петербург,hh.ru
Junior Data Scientist,https://hh.ru/vacancy/47666361?from=vacancy_search_list&query=data,40000,60000,ООО Агентство судебного взыскания,"Санкт-Петербург, Лесная",hh.ru
Разработчик нейронных сетей / Data scientist,https://hh.ru/vacancy/47411923?from=vacancy_search_list&query=data,0,0,Artes Electronics,"Санкт-Петербург, Обводный Канал",hh.ru
Аналитик /Data Analyst,https://hh.ru/vacancy/41124052?from=vacancy_search_list&query=data,0,0,WARGAMING RED,Санкт-Петербург,hh.ru
Data Scientist / Математик-программист,https://hh.ru/vacancy/47450289?from=vacancy_search_list&query=data,0,0,ООО Лаборатория Корпоративного Сопровождения,Санкт-Петербург,hh.ru
Data Scientist,https://hh.ru/vacancy/47675696?from=vacancy_search_list&query=data,0,0,HEINEKEN Russia,Санкт-Петербург,hh.ru
Big Data Engineer (remote),https://hh.ru/vacancy/47146188?from=vacancy_search_list&query=data,4400,12000,LeoVegas,Санкт-Петербург,hh.ru
Data analyst / Researcher,https://hh.ru/vacancy/44074886?from=vacancy_search_list&query=data,0,0,Alber Blanc,"Санкт-Петербург, Беговая",hh.ru
Data Analyst (Dubai),https://hh.ru/vacancy/47535288?from=vacancy_search_list&query=data,0,0,Arkad Management DMCC,Санкт-Петербург,hh.ru
Data Manager,https://hh.ru/vacancy/47570290?from=vacancy_search_list&query=data,0,0,PSI Co Ltd.,"Санкт-Петербург, Владимирская",hh.ru
Data analyst,https://hh.ru/vacancy/46818665?from=vacancy_search_list&query=data,80000,150000,LuckyGroup,Санкт-Петербург,hh.ru
Data Analyst,https://hh.ru/vacancy/46428279?from=vacancy_search_list&query=data,0,0,Tilting Point Media,"Санкт-Петербург, Петроградская",hh.ru
Data Analyst,https://hh.ru/vacancy/47369126?from=vacancy_search_list&query=data,0,0,Karuna,"Санкт-Петербург, Чкаловская",hh.ru
Data Analyst в Operations,https://hh.ru/vacancy/46940090?from=vacancy_search_list&query=data,0,0,Skyeng,Санкт-Петербург,hh.ru
Data Analyst,https://hh.ru/vacancy/47003057?from=vacancy_search_list&query=data,0,0,ООО Карренси Ком Бел,Санкт-Петербург,hh.ru
Data-aналитик,https://hh.ru/vacancy/46923448?from=vacancy_search_list&query=data,0,0,Movavi,Санкт-Петербург,hh.ru
Аналитик данных (Data Analyst),https://hh.ru/vacancy/47668650?from=vacancy_search_list&query=data,0,0,Группа RBI,"Санкт-Петербург, Василеостровская",hh.ru
Marketing Data Analyst,https://hh.ru/vacancy/47137425?from=vacancy_search_list&query=data,0,0,Karuna,"Санкт-Петербург, Чкаловская",hh.ru
