name,link,sum_min,sum_max,firm,adress,site
Backend Python Django Developer Data Science Computer Vision ML Engineer,https://www.superjob.ru/vakansii/backend-python-django-developer-data-science-computer-vision-ml-engineer-38816403.html,150000.0,175000.0,Longevity InTime,Москва,superjob.ru
Data scientist (моделист) центра внутрикорпоративного взаимодействия,https://www.superjob.ru/vakansii/data-scientist-38471918.html,,,Сбербанк России,Москва,superjob.ru
Data Engineer,https://www.superjob.ru/vakansii/data-engineer-38716751.html,,,ЮниКредит Банк,Москва,superjob.ru
Data Scientist,https://www.superjob.ru/vakansii/data-scientist-38601975.html,100000.0,,Линском,Москва,superjob.ru
DevOps Engineer (Big Data),https://www.superjob.ru/vakansii/devops-engineer-38879078.html,,,"EPAM Systems, Inc.",Москва,superjob.ru
ETL Data Engineer,https://www.superjob.ru/vakansii/etl-data-engineer-38836897.html,,,Radius-etl,Москва,superjob.ru
Инженер Data Recovery,https://www.superjob.ru/vakansii/inzhener-data-recovery-25662787.html,,,Storelab-RC,Китай-город,superjob.ru
Data Quality Engineer,https://www.superjob.ru/vakansii/data-quality-engineer-38602244.html,100000.0,,Линском,Москва,superjob.ru
Data Scientist RecSys,https://www.superjob.ru/vakansii/data-scientist-recsys-38888239.html,,,Сбербанк России,Москва,superjob.ru
Senior Data Scientist (Auto ML),https://www.superjob.ru/vakansii/senior-data-scientist-38888097.html,,,Сбербанк России,Москва,superjob.ru
"Аналитик (Big data, Excel)",https://www.superjob.ru/vakansii/analitik-38477895.html,,,Сбербанк России,Москва,superjob.ru
Data engineer,https://www.superjob.ru/vakansii/data-engineer-38803012.html,,,Сбербанк России,Москва,superjob.ru
DevOps Engineer (Hadoop &amp; Data Science platform),https://www.superjob.ru/vakansii/devops-engineer-38716747.html,,,ЮниКредит Банк,Москва,superjob.ru
Python Developer (Big Data),https://www.superjob.ru/vakansii/python-developer-38517207.html,100000.0,,Линском,Москва,superjob.ru
Data Engineer,https://www.superjob.ru/vakansii/data-engineer-38645587.html,,,Radius-etl,"Москва, Новоданиловская набережная, 10",superjob.ru
Разработчик мобильных приложений Android / iOS,https://www.superjob.ru/vakansii/razrabotchik-mobilnyh-prilozhenij-android-38874802.html,,,СтандартПроект,"Москва, улица Станиславского, 21с1",superjob.ru
Системный аналитик,https://www.superjob.ru/vakansii/sistemnyj-analitik-38471965.html,120000.0,,Эссистэнс Сервисес,Москва,superjob.ru
Руководитель проекта,https://www.superjob.ru/vakansii/rukovoditel-proekta-38471575.html,,,Технопарк «Сколково»,Москва,superjob.ru
Главный специалист отдела эксплуатации Центра обработки данных и системных сервисов,https://www.superjob.ru/vakansii/glavnyj-specialist-otdela-ekspluatacii-centra-obrabotki-dannyh-i-sistemnyh-servisov-38792622.html,,,"ГУП ""Московский метрополитен""",Москва,superjob.ru
Разработчик / Старший разработчик баз данных (Oracle/PostgreSQL),https://www.superjob.ru/vakansii/razrabotchik-38513324.html,,,Ашан,"Москва, Верхняя Красносельская улица, 3А",superjob.ru
Технический писатель,https://www.superjob.ru/vakansii/tehnicheskij-pisatel-38815608.html,,,СтандартПроект,"Москва, улица Станиславского, 21с2",superjob.ru
Разработчик хранилища данных (Oracle PL/SQL),https://www.superjob.ru/vakansii/razrabotchik-hranilischa-dannyh-38709698.html,,,РНКБ банк,Автозаводская,superjob.ru
Специалист по подбору ТОП-менеджмента (Дистанционный рекрутер),https://www.superjob.ru/vakansii/specialist-po-podboru-top-menedzhmenta-38046931.html,,,Этажи,Москва,superjob.ru
Менеджер проекта (IT Bootcamp Сбера),https://www.superjob.ru/vakansii/menedzher-proekta-38764283.html,,,Сбербанк России,Москва,superjob.ru
Ведущий менеджер по продажам корпоративным клиентам,https://www.superjob.ru/vakansii/veduschij-menedzher-po-prodazham-korporativnym-klientam-31549424.html,100000.0,,Билайн,"Москва, Краснопролетарская улица, 4",superjob.ru
Менеджер продукта,https://www.superjob.ru/vakansii/menedzher-produkta-36566553.html,,,SuperJob,Тверская,superjob.ru
Account manager,https://www.superjob.ru/vakansii/account-manager-38903114.html,50000.0,,Частный рекрутер Алешин Дмитрий,Москва,superjob.ru
Ведущий специалист (Центр управления объектами интеллектуальной собственности),https://www.superjob.ru/vakansii/veduschij-specialist-37074323.html,,,"ГУП ""Московский метрополитен""",Москва,superjob.ru
DWH / ETL Developer (разработчик КХД),https://www.superjob.ru/vakansii/dwh-38716740.html,,,ЮниКредит Банк,Москва,superjob.ru
Преподаватель программирования и робототехники,https://www.superjob.ru/vakansii/prepodavatel-programmirovaniya-i-robototehniki-38892804.html,,,,"Москва, Уваровский переулок, 10к1 стр 2",superjob.ru
Translator cum Clerk / Переводчик-клерк,https://www.superjob.ru/vakansii/translator-cum-clerk-38563684.html,,,Посольство Республики Индия,Москва,superjob.ru
Коммерческий директор в IT-компанию,https://www.superjob.ru/vakansii/kommercheskij-direktor-v-it-kompaniyu-38891592.html,,350000.0,Smart Hiring PRO,Москва,superjob.ru
System administrator,https://www.superjob.ru/vakansii/system-administrator-38785680.html,90000.0,90000.0,Excis Rus LLC,Москва,superjob.ru
Младший бизнес-аналитик,https://www.superjob.ru/vakansii/mladshij-biznes-analitik-38888679.html,,45000.0,Эссистэнс Сервисес,Москва,superjob.ru
PHP-разработчик,https://www.superjob.ru/vakansii/php-razrabotchik-36516070.html,,,Директ Кредит,Москва,superjob.ru
QA-engineer / WEB-developer,https://www.superjob.ru/vakansii/qa-engineer-38120817.html,100000.0,100000.0,Perfect Systems,Москва,superjob.ru
DevOps Engineer (AWS),https://www.superjob.ru/vakansii/devops-engineer-38879209.html,,,"EPAM Systems, Inc.",Москва,superjob.ru
Java-разработчик (удаленно),https://www.superjob.ru/vakansii/java-razrabotchik-38507064.html,,,Дикси Групп,Москва,superjob.ru
Android developer,https://www.superjob.ru/vakansii/android-developer-38511623.html,,,Березина-Лебедева И.В.,Москва,superjob.ru
Senior Machine Learning Engineer,https://www.superjob.ru/vakansii/senior-machine-learning-engineer-38517239.html,100000.0,,Линском,Москва,superjob.ru
